Location,DayOfWeek,DayNum,Admissions
Hospital_1,Monday,0,17867
Hospital_1,Tuesday,1,17916
Hospital_1,Wednesday,2,18077
Hospital_1,Thursday,3,17620
Hospital_1,Friday,4,15407
Hospital_1,Saturday,5,8204
Hospital_1,Sunday,6,13745
Hospital_2,Monday,0,2869
Hospital_2,Tuesday,1,2765
Hospital_2,Wednesday,2,2774
Hospital_2,Thursday,3,2955
Hospital_2,Friday,4,2140
Hospital_2,Saturday,5,1564
Hospital_2,Sunday,6,2360
Hospital_3,Monday,0,3705
Hospital_3,Tuesday,1,4600
Hospital_3,Wednesday,2,4538
Hospital_3,Thursday,3,4375
Hospital_3,Friday,4,4189
Hospital_3,Saturday,5,305
Hospital_3,Sunday,6,4274
Hospital_4,Monday,0,8136
Hospital_4,Tuesday,1,7739
Hospital_4,Wednesday,2,8275
Hospital_4,Thursday,3,7994
Hospital_4,Friday,4,7044
Hospital_4,Saturday,5,5863
Hospital_4,Sunday,6,4782
Hospital_5,Monday,0,19260
Hospital_5,Tuesday,1,18334
Hospital_5,Wednesday,2,18557
Hospital_5,Thursday,3,17886
Hospital_5,Friday,4,14696
Hospital_5,Saturday,5,7325
Hospital_5,Sunday,6,17780
Hospital_6,Monday,0,4090
Hospital_6,Tuesday,1,4037
Hospital_6,Wednesday,2,3967
Hospital_6,Thursday,3,3871
Hospital_6,Friday,4,3896
Hospital_6,Saturday,5,3109
Hospital_6,Sunday,6,2196
