MAE,RMSE,MAPE,R2,Location,Model
268.5650899042573,277.1587130029349,9.61689259657396,0.1624590554836387,Hospital_1,SARIMA
255.1942008210937,305.07797305825204,9.259123082715549,-0.014777150921244875,Hospital_1,ETS
315.09916994269156,347.6718426393207,11.506944915331873,-0.3179168603967144,Hospital_1,Prophet
197.89655000000008,250.4950847209748,7.175260366360324,0.3158562051373286,Hospital_1,XGBoost
206.75929265873015,267.9821813800639,7.466617825784332,0.21700171410266378,Hospital_1,RandomForest
0.005739676364631426,0.007745000077426418,0.00020352338229107057,0.9999999993459788,Hospital_1,LinearRegression
105.9653433106776,119.37440735365684,21.322207769902317,-13.537773994483244,Hospital_2,SARIMA
102.50220778811327,116.6559411417367,20.569678728845577,-12.883187194851399,Hospital_2,ETS
116.49301639961475,131.11496998527193,23.38639567800682,-16.537997980973568,Hospital_2,Prophet
42.690505,47.47838660742608,8.588737979921387,-1.2996797498977495,Hospital_2,XGBoost
34.37595039682534,39.40616892804459,6.900213455601596,-0.5841776633722833,Hospital_2,RandomForest
0.35309583929350197,0.37083088422729554,0.07174112457969506,0.999859709827446,Hospital_2,LinearRegression
120.32886351733737,143.7223904128119,21.793674703118707,-0.7247133710652718,Hospital_3,SARIMA
697.4504975514087,726.443808394114,143.53569992935624,-43.06280289071516,Hospital_3,ETS
119.83690356390679,148.5726930969062,22.37790766283694,-0.843087942244638,Hospital_3,Prophet
65.36016833333333,87.36425646925434,11.713232323941849,0.36271215267020895,Hospital_3,XGBoost
63.69099503968253,80.14869758138047,11.663267430637893,0.463634289993188,Hospital_3,RandomForest
0.017623282381360166,0.021336410612870556,0.0030499396978092763,0.9999999619888693,Hospital_3,LinearRegression
124.7295381194378,161.28140376249576,11.441083432613114,-1.627819590305129,Hospital_4,SARIMA
156.5980685700952,190.11210888968287,14.522621854719558,-2.6512915767221874,Hospital_4,ETS
154.88037500399366,183.84970678334741,14.286416281329434,-2.4147022403195226,Hospital_4,Prophet
96.21626666666664,103.88269162967748,8.867992880687796,-0.09021798946583237,Hospital_4,XGBoost
78.6846822089946,105.23351024175382,7.5301708418856155,-0.11875521020361246,Hospital_4,RandomForest
0.007964827672253705,0.00903876950278205,0.0006889268267654597,0.9999999917463589,Hospital_4,LinearRegression
491.99356650469554,658.8620400210309,19.88193140827064,-9.03583456479532,Hospital_5,SARIMA
254.83394646107226,341.4356825603829,9.89333967638655,-1.695146224043306,Hospital_5,ETS
313.1596415909996,412.70659724892215,12.151405505159433,-2.93774277096324,Hospital_5,Prophet
228.71895000000004,288.62682502911673,8.908271537151462,-0.9259184977365968,Hospital_5,XGBoost
219.00502976190486,267.3733814264798,8.595214644408838,-0.6527259928932125,Hospital_5,RandomForest
0.014320971890204722,0.016655140711373095,0.0005716969309651732,0.9999999935870015,Hospital_5,LinearRegression
58.18004971863659,69.31199162253401,7.857783932564698,-0.2852581565393426,Hospital_6,SARIMA
58.166700853888834,70.76880424456255,7.855979692877859,-0.33985353847528077,Hospital_6,ETS
86.50519812812591,103.19955249907568,11.33234278541686,-1.8492413639334528,Hospital_6,Prophet
57.504153333333306,59.246289924352205,7.546156580615877,0.06093440063602218,Hospital_6,XGBoost
50.59122420634926,55.432200738937716,6.696848092878711,0.17795071761074321,Hospital_6,RandomForest
0.044317246468324356,0.05263474710422927,0.005697236652415893,0.9999992588285299,Hospital_6,LinearRegression
